Area;Major;Minor;Angle
1045;51.284;25.945;88.953
3629;89.852;51.424;141.912
2372;73.186;41.266;100.86
3665;79.513;58.688;33.957
2183;55.202;50.352;124.435
2894;76.649;48.073;22.012
1526;52.724;36.852;61.64
2370;73.368;41.13;100.441
2204;66.591;42.141;116.6
2447;74.047;42.076;151.598
3129;75.122;53.033;72.785
2910;76.909;48.176;21.809
1512;52.439;36.712;61.38
3047;75.328;51.502;44.638
2692;66.891;51.241;76.747
3570;82.308;55.225;124.841
2488;64.625;49.019;12.593
3718;76.548;61.842;111.943
3151;71.26;56.301;156.191
2448;63.372;49.184;110.685
2350;63.34;47.239;175.065
1789;53.577;42.515;59.861
3236;72.625;56.733;58.888
2902;67.984;54.35;25.458
3633;73.155;63.231;30.976
1691;49.783;43.249;122.027
2487;63.679;49.727;109.956
2293;64.626;45.176;113.796
1758;53.027;42.212;21.981
3242;72.917;56.61;58.479
2876;66.241;55.28;47.158
