Area;Major;Minor;Angle
2041;59.586;43.612;2.758
1685;54.245;39.55;85.88
2068;56.671;46.462;165.671
3815;90.909;53.431;118.481
3925;80.444;62.123;29.144
2267;56.421;51.159;20.15
1689;54.258;39.635;86.145
1910;58.339;41.685;78.997
1291;42.712;38.484;45.118
2649;63.97;52.725;121.903
1330;50.621;33.453;136.469
2541;62.705;51.596;96.708
2026;62.38;41.353;94.622
3741;100.24;47.518;98.182
2834;69.601;51.844;54.978
1205;41.631;36.854;164.825
1319;54.599;30.759;37.545
1891;52.713;45.675;124.462
2035;62.235;41.633;93.687
1707;55.73;38.999;164.62
3734;100.185;47.455;98.052
3463;73.874;59.686;36.835
1634;54.017;38.515;113.282
1375;47.273;37.034;143.503
